Имя,Дата защиты,Ученая степень,Научный руководитель:,Официальные оппоненты:,Работа выполнена в:,Ведущая организация:,Диссертационный совет:,Научный консультант:,Научный руководитель / консультант:,Работа выполнена:,Дата защиты:,Работа выполнена в,Работа выполнена на:,V1,"Работа
выполнена в:","Работа выполнена
в:","Ведущая
организация:",Работа выполнена на,Научные руководители:,Научный консультант,Работа выполнена,"Ведущая 
 организация:","Научный
руководитель:",Научные консультанты:,Научный руководитель,Официальные оппоненты,"Организация, где выполнена работа",Ведущая организация,Диссертация защищена,  Фото,Тамбовский государственный университет им. Г.Р. Державина,Диссертационный совет: 12.10.419,Фото,"Организация, где выполнена диссертация",V2
Алексеева Татьяна Олеговна, 28 мая 2007 года, кандидат экономических наук,"Павловский Александр Станиславович, Коноплев Виктор Афанасьевич","Немченко Галина Ивановна, Чупрякова Алена Григорьевна",,Сибирский Государственный Университет Путей Сообщения,Д 212.088.05 Кемеровский Государственный Университет,,,Кемеровский Государственный Университет,,,,,,,,,,,,,,,,,,,,,,,,,
Алексеик Евгений Борисович, 2002 год, кандидат технических наук,Артамонов Владимир Сергеевич,"",СПб университет МВД России,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Алешин Алексей Леонидович, 4 марта 2008 года, кандидат экономических наук,Ажлуни Аднан Марович,"Садков Виктор Георгиевич,
Петрухина Елена Владимировна",Орловская региональная академия государ­ственной службы,Брянский государственный технический университет,212.182.02 Орловский государственный технический университет,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Алешин Василий Иванович, 15 февраля 2012 года, доктор социологических наук,,"Иванов Сергей Юрьевич (по данным ВАК),
Шарков Феликс Изосимович, Сперанский Владимир Игоревич",,Московский государственный университет им. М.В. Ломоносова,212.142.05 при «Станкине»,Кириллова Елена Александровна,,"на кафедре cоциологии, психологии и педагогики ГОУ ВПО Московского государственного технологического университета «Станкин»",,,,,,,,,,,,,,,,,,,,,,,,,
Алешков Александр Михайлович, 7 декабря 2011 года, кандидат технических наук,Федоров Андрей Владимирович,"Минаев Владимир Александрович,
Дешко Игорь Петрович",Академии Государственной противопожарной службы МЧС России,ФГБУ ВНИИПО МЧС России,205.002.01 в Академии Государственной противопожарной службы МЧС России,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Алиев Евгений Евгеньевич, 26 июня 2009 года, кандидата педагогических наук,Чупанов Абдулла Хизриевич,"Трещев Александр Михайлович,
Гаджмагаев Снражудин Магомедович",Дагестанский государственный педагогический университет,Институт инновационной деятельности в образовании,212.051.04 Дагестанский государственный педагогический университет,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Алиев Зубайир Магомеддибирович, 8 декабря 2011 года, кандидат экономических наук,Чая Владимир Тигранович,"Палий Виталий Федорович,
Боноева Наталья Александровна",,Московский экономико-финансовый институт,501.001.18  МГУ,,,"на кафедре учета, анализа и аудита экономического факультета Московского государственного университета имени М.В. Ломоносова",,,,,,,,,,,,,,,,,,,,,,,,,
Алиев Сефер Насирович, 29 мая 2010 года, доктор экономических наук,,"Бусов Владимир Иванович,
Гасанов Магомед Алиевич, Габибов Наврузбег Ороджевич",Дагестанский государственный технический университет,Санкт-Петербургский государственный архитектурно-строительный университет,212.052.01 Дагестанский государственный технический университет,"Магомедов Арбули Гунашевич, Мелехин Владимир Борисович",,,,,,,,,,,,,,,,,,,,,,,,,,,
Алиева Светлана Викторовна, 16 февраля 2011 года, кандидат педагогических наук,Белогуров Анатолий Юльевич,"Легостаев Иван Иванович, Романенко Надежда Михайловна",Федеральном институте развития образования,Академия повышения квалификации и переподготовки работников образования,212.136.04 Московского государственного гуманитарного университета им. М.А. Шолохова,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Алимова Елена Евгеньевна, 27 декабря 2011 года, кандидат психологических наук,Абакумова Ирина Владимировна,"Котова Изабела Борисовна,
Дикая Людмила Александровна",Южном федеральном университете,Таганрогский государственный педагогический институт,212.208.27 при Южном федеральном университете,,,,,,,,,,,,,,,,,,,,,,,,,,,,
